IDENTITAS:,111111,aaaaa,L,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 16/11/2014 06:56:38,C,F01,Happy,S,902.9998779296875,932.999849319458,
 16/11/2014 06:56:40,C,M04,Happy,G,959.9997997283936,988.9998435974121,
 16/11/2014 06:56:41,C,M04,Neutral,S,687.000036239624,728.0001640319824,
 16/11/2014 06:56:43,I,F03,Angry,S,818.000078201294,857.0001125335693,SALAH
 16/11/2014 06:56:44,I,F02,Neutral,G,689.000129699707,726.9999980926514,SALAH
 16/11/2014 06:56:46,I,F02,Angry,G,710.9999656677246,739.0000820159912,
 16/11/2014 06:56:47,C,F01,Angry,S,563.9998912811279,607.9998016357422,
 16/11/2014 06:56:48,C,M01,Happy,G,620.999813079834,641.9999599456787,
 16/11/2014 06:56:49,I,F03,Neutral,S,555.9999942779541,585.0000381469727,
 16/11/2014 06:56:51,C,M04,Happy,S,641.0000324249268,672.0001697540283,SALAH
 16/11/2014 06:56:52,I,M04,Angry,G,523.0000019073486,561.0001087188721,SALAH
 16/11/2014 06:56:53,I,M04,Angry,G,559.999942779541,603.9998531341553,
 16/11/2014 06:56:55,I,M03,Neutral,S,473.9999771118164,513.0000114440918,
 16/11/2014 06:56:56,C,F03,Angry,S,470.99995613098145,500.99992752075195,SALAH
 16/11/2014 06:56:57,C,M04,Happy,S,465.9998416900635,506.0000419616699,
 16/11/2014 06:56:58,I,F02,Angry,G,488.00015449523926,526.0000228881836,
 16/11/2014 06:56:59,I,M04,Neutral,S,509.99999046325684,539.0000343322754,
 16/11/2014 06:57:01,C,M01,Happy,S,553.9999008178711,592.9999351501465,SALAH
 16/11/2014 06:57:29,C,M01,Angry,S,26807.999849319458,26846.999883651733,
 16/11/2014 06:57:30,C,M04,Happy,S,884.0000629425049,921.0000038146973,
 16/11/2014 06:57:31,I,M03,Happy,G,480.9999465942383,519.0000534057617,
 16/11/2014 06:57:32,C,F03,Angry,S,516.9999599456787,555.9999942779541,
 16/11/2014 06:57:33,I,M04,Angry,S,439.00012969970703,478.0001640319824,
 16/11/2014 06:57:34,C,M04,Angry,G,437.000036239624,476.0000705718994,SALAH
 16/11/2014 06:57:35,I,M04,Happy,S,332.99994468688965,372.999906539917,
 16/11/2014 06:57:36,I,M03,Angry,G,315.99998474121094,343.99986267089844,SALAH
 16/11/2014 06:57:37,C,M04,Neutral,G,377.000093460083,416.0001277923584,SALAH
 16/11/2014 06:57:37,I,F03,Happy,G,314.00012969970703,351.99999809265137,SALAH
 16/11/2014 06:57:38,I,F02,Happy,G,325.9999752044678,364.0000820159912,SALAH
 16/11/2014 06:57:39,C,M01,Neutral,G,329.9999237060547,358.99996757507324,SALAH
 16/11/2014 06:57:40,I,M04,Happy,S,299.9999523162842,326.9999027252197,
 16/11/2014 06:57:41,C,F01,Angry,G,575.9999752044678,616.9998645782471,SALAH
 16/11/2014 06:57:42,C,F03,Angry,S,344.00010108947754,381.9999694824219,
 16/11/2014 06:57:43,C,M01,Angry,G,371.99997901916504,411.00001335144043,SALAH
 16/11/2014 06:57:44,C,F03,Neutral,G,364.0000820159912,403.0001163482666,SALAH
 16/11/2014 06:57:45,I,F03,Happy,S,371.99997901916504,411.00001335144043,
 16/11/2014 06:57:45,I,F02,Happy,G,359.9998950958252,398.00000190734863,SALAH
 16/11/2014 06:57:49,I,M03,Happy,G,3654.0000438690186,3691.999912261963,SALAH
 16/11/2014 06:57:50,I,M03,Happy,S,351.99999809265137,380.9998035430908,
 16/11/2014 06:57:51,C,M01,Happy,G,397.0000743865967,436.00010871887207,SALAH
 16/11/2014 06:57:52,C,F03,Happy,G,430.00006675720215,459.0001106262207,SALAH
 16/11/2014 06:57:53,I,M04,Happy,S,399.99985694885254,429.99982833862305,
 16/11/2014 06:57:54,I,F03,Angry,S,394.0000534057617,434.999942779541,
 16/11/2014 06:57:54,C,F03,Happy,S,349.99990463256836,384.0000629425049,
 16/11/2014 06:57:55,I,M03,Happy,G,342.9999351501465,381.0000419616699,SALAH
 16/11/2014 06:57:56,I,F03,Angry,S,398.9999294281006,434.00001525878906,
 16/11/2014 06:57:57,I,F02,Happy,S,351.0000705718994,390.0001049041748,
 16/11/2014 06:57:58,C,F03,Angry,G,342.00000762939453,371.99997901916504,SALAH
 16/11/2014 06:57:58,C,M04,Happy,G,406.9998264312744,445.9998607635498,SALAH
 16/11/2014 06:57:59,C,F01,Happy,S,427.99997329711914,457.99994468688965,
 16/11/2014 06:58:00,I,F03,Happy,G,340.9998416900635,375.0,SALAH
 16/11/2014 06:58:01,C,F01,Angry,G,378.00002098083496,417.9999828338623,SALAH
 16/11/2014 06:58:02,I,M04,Angry,G,349.99990463256836,388.0000114440918,SALAH
 16/11/2014 06:58:02,C,F03,Neutral,S,359.9998950958252,395.9999084472656,
 16/11/2014 06:58:03,I,F02,Neutral,S,292.9999828338623,331.00008964538574,
 16/11/2014 06:58:04,C,F01,Angry,S,361.00006103515625,391.9999599456787,
 16/11/2014 06:58:05,C,M01,Angry,S,360.99982261657715,392.99988746643066,
 16/11/2014 06:58:06,I,F02,Neutral,G,348.9999771118164,382.9998970031738,SALAH
 16/11/2014 06:58:06,I,M04,Happy,G,313.99989128112793,352.9999256134033,SALAH
 16/11/2014 06:58:07,I,M03,Angry,S,321.0000991821289,358.99996757507324,
 16/11/2014 06:58:08,C,M04,Neutral,G,308.0000877380371,347.0001220703125,SALAH
 16/11/2014 06:58:09,I,M04,Neutral,G,279.9999713897705,307.999849319458,SALAH
 16/11/2014 06:58:09,I,M04,Angry,S,267.99988746643066,306.99992179870605,
 16/11/2014 06:58:10,C,M01,Angry,S,305.9999942779541,335.00003814697266,
 16/11/2014 06:58:11,I,F03,Happy,S,287.99986839294434,325.9999752044678,
 16/11/2014 06:58:12,C,F01,Neutral,S,252.000093460083,292.00005531311035,
 16/11/2014 06:58:13,C,F03,Neutral,S,302.99997329711914,337.9998207092285,
 16/11/2014 06:58:13,C,F03,Neutral,G,378.9999485015869,417.00005531311035,SALAH
 16/11/2014 06:58:14,I,F03,Happy,G,367.0001029968262,394.0000534057617,SALAH
 16/11/2014 06:58:15,C,M04,Angry,G,289.0000343322754,318.00007820129395,SALAH
 16/11/2014 06:58:16,I,M04,Neutral,S,341.0000801086426,380.00011444091797,
 16/11/2014 06:58:16,I,F02,Happy,S,250.0,277.00018882751465,
 16/11/2014 06:58:17,C,M04,Neutral,G,253.9999485015869,280.99989891052246,SALAH
 16/11/2014 06:58:18,C,F03,Happy,G,207.0000171661377,245.00012397766113,SALAH
 16/11/2014 06:58:19,I,F02,Happy,S,232.9998016357422,260.9999179840088,
 16/11/2014 06:58:20,C,F03,Angry,S,518.0001258850098,560.0001811981201,
 16/11/2014 06:58:21,I,M03,Happy,S,405.0002098083496,433.0000877380371,
 16/11/2014 06:58:22,I,F03,Neutral,G,388.0000114440918,424.9999523162842,SALAH
 16/11/2014 06:58:39,I,M04,Happy,G,16054.00013923645,16081.000089645386,SALAH
 16/11/2014 06:58:39,C,F03,Neutral,G,330.99985122680664,369.99988555908203,SALAH
 16/11/2014 06:58:40,C,M01,Neutral,G,342.9999351501465,368.9999580383301,SALAH
 16/11/2014 06:58:41,I,F03,Neutral,G,391.00003242492676,417.00005531311035,SALAH
 16/11/2014 06:58:42,I,M04,Neutral,G,279.9999713897705,306.99992179870605,SALAH
 16/11/2014 06:58:42,C,M01,Happy,S,284.0001583099365,323.0001926422119,
 16/11/2014 06:58:43,I,F03,Angry,S,304.99982833862305,339.9999141693115,
 16/11/2014 06:58:44,C,F01,Neutral,G,234.9998950958252,279.9999713897705,SALAH
 16/11/2014 06:58:44,I,M04,Angry,G,292.9999828338623,331.00008964538574,SALAH
 16/11/2014 06:58:45,C,F01,Happy,S,209.0001106262207,251.00016593933105,
 16/11/2014 06:58:46,I,F03,Angry,G,271.0001468658447,299.9999523162842,SALAH
 16/11/2014 06:58:46,I,F03,Angry,G,240.00000953674316,277.9998779296875,SALAH
 16/11/2014 06:58:47,C,M01,Neutral,S,268.9998149871826,309.999942779541,
 16/11/2014 06:58:48,I,F02,Neutral,G,292.00005531311035,329.9999237060547,SALAH
 16/11/2014 06:58:49,C,F03,Angry,G,423.9997863769531,462.9998207092285,SALAH
 16/11/2014 06:58:50,C,F01,Angry,G,401.0000228881836,442.000150680542,SALAH
 16/11/2014 06:58:51,C,M01,Neutral,S,335.00003814697266,375.0,
 16/11/2014 06:58:52,I,F03,Neutral,S,286.00001335144043,314.9998188018799,
 16/11/2014 06:58:52,I,M03,Neutral,G,308.0000877380371,351.99999809265137,SALAH
 16/11/2014 06:58:53,I,F03,Neutral,S,292.9999828338623,328.0000686645508,
 16/11/2014 06:58:54,I,F03,Happy,G,235.99982261657715,273.9999294281006,SALAH
 16/11/2014 06:58:55,I,F02,Neutral,G,352.9999256134033,390.0001049041748,SALAH
 16/11/2014 06:58:55,I,M03,Neutral,S,332.0000171661377,367.0001029968262,
 16/11/2014 06:58:56,C,M01,Neutral,G,342.00000762939453,369.99988555908203,SALAH
 16/11/2014 06:58:57,C,M01,Happy,G,287.0001792907715,325.0000476837158,SALAH
 16/11/2014 06:58:57,I,M03,Angry,S,288.00010681152344,325.0000476837158,
 16/11/2014 06:58:58,I,M04,Angry,S,266.9999599456787,305.9999942779541,
 16/11/2014 06:58:59,C,F03,Neutral,S,275.00009536743164,315.99998474121094,
 16/11/2014 06:59:00,C,M01,Happy,G,290.00020027160645,318.00007820129395,SALAH
 16/11/2014 06:59:00,C,M04,Angry,G,286.9999408721924,324.9998092651367,SALAH
 16/11/2014 06:59:01,I,F02,Neutral,S,250.0,285.0000858306885,
 16/11/2014 06:59:02,C,M01,Angry,G,260.9999179840088,279.9999713897705,SALAH
 16/11/2014 06:59:02,C,M01,Neutral,S,304.99982833862305,340.9998416900635,
 16/11/2014 06:59:03,I,F02,Angry,G,287.0001792907715,325.0000476837158,SALAH
 16/11/2014 06:59:04,I,M03,Neutral,G,305.00006675720215,344.00010108947754,SALAH
 16/11/2014 06:59:05,C,F03,Happy,S,280.99989891052246,310.99987030029297,
 16/11/2014 06:59:05,C,M04,Neutral,S,328.99999618530273,351.99999809265137,
 16/11/2014 06:59:06,C,F03,Happy,G,238.00015449523926,277.00018882751465,SALAH
 16/11/2014 06:59:07,C,M01,Angry,G,224.99990463256836,266.00003242492676,SALAH
 16/11/2014 06:59:07,I,M03,Happy,S,223.9999771118164,260.9999179840088,
 16/11/2014 06:59:08,I,F03,Angry,G,259.0000629425049,295.0000762939453,SALAH
 16/11/2014 06:59:09,C,F01,Happy,G,225.9998321533203,259.99999046325684,SALAH
 16/11/2014 06:59:09,I,F02,Neutral,S,243.00003051757812,281.9998264312744,
 16/11/2014 06:59:10,I,F03,Angry,G,251.9998550415039,280.99989891052246,SALAH
 16/11/2014 06:59:11,I,F02,Angry,S,227.99992561340332,263.0000114440918,
 16/11/2014 06:59:12,I,F02,Angry,S,285.0000858306885,345.99995613098145,
 16/11/2014 06:59:13,I,M03,Angry,S,395.9999084472656,435.99987030029297,
 16/11/2014 06:59:14,C,F03,Happy,G,285.0000858306885,312.999963760376,SALAH
 16/11/2014 06:59:14,I,M03,Neutral,G,296.9999313354492,335.9999656677246,SALAH
 16/11/2014 06:59:15,C,M01,Angry,S,307.999849319458,341.0000801086426,
 16/11/2014 06:59:16,I,M03,Neutral,S,281.00013732910156,312.000036239624,
 16/11/2014 06:59:17,C,M04,Neutral,S,325.9999752044678,361.9999885559082,
 16/11/2014 06:59:17,I,F02,Angry,S,286.9999408721924,322.00002670288086,
 16/11/2014 06:59:18,C,F03,Neutral,S,351.99999809265137,388.99993896484375,
 16/11/2014 06:59:19,C,F01,Neutral,S,358.99996757507324,400.00009536743164,
 16/11/2014 06:59:20,C,F01,Angry,S,273.00000190734863,316.9999122619629,
 16/11/2014 06:59:20,I,F03,Neutral,S,274.99985694885254,310.99987030029297,
 16/11/2014 06:59:21,I,F03,Happy,S,272.0000743865967,309.999942779541,
 16/11/2014 06:59:22,C,M04,Happy,G,283.9999198913574,323.99988174438477,SALAH
 16/11/2014 06:59:22,C,M01,Neutral,S,257.9998970031738,299.0000247955322,
 16/11/2014 06:59:23,I,M04,Neutral,G,301.00011825561523,331.00008964538574,SALAH
 16/11/2014 06:59:24,C,M04,Angry,G,324.00012016296387,364.0000820159912,SALAH
 16/11/2014 06:59:25,I,M04,Happy,S,282.0000648498535,310.99987030029297,
 16/11/2014 06:59:25,C,F01,Angry,G,259.99999046325684,302.0000457763672,SALAH
 16/11/2014 06:59:26,C,F01,Happy,S,278.99980545043945,314.9998188018799,
 16/11/2014 06:59:27,I,F02,Happy,S,294.9998378753662,330.99985122680664,
 16/11/2014 06:59:28,I,M03,Angry,G,324.00012016296387,362.99991607666016,SALAH
 16/11/2014 06:59:28,C,M04,Neutral,S,314.9998188018799,350.9998321533203,
 16/11/2014 06:59:29,C,F03,Neutral,G,325.9999752044678,365.9999370574951,SALAH
 16/11/2014 06:59:30,I,M04,Happy,G,277.00018882751465,314.00012969970703,SALAH
 16/11/2014 06:59:31,I,M04,Angry,S,285.0000858306885,311.00010871887207,
 16/11/2014 06:59:31,C,F03,Angry,G,290.9998893737793,325.9999752044678,SALAH
 16/11/2014 06:59:33,I,M03,Neutral,G,549.9999523162842,585.0000381469727,SALAH
 16/11/2014 06:59:33,I,F02,Neutral,S,278.99980545043945,319.99993324279785,
 16/11/2014 06:59:34,I,M04,Neutral,S,238.00015449523926,274.0001678466797,
 16/11/2014 06:59:35,C,F01,Angry,S,276.99995040893555,321.0000991821289,
 16/11/2014 06:59:36,I,M04,Neutral,G,286.9999408721924,325.9999752044678,SALAH
 16/11/2014 06:59:36,I,F03,Neutral,G,220.0000286102295,253.00002098083496,SALAH
 16/11/2014 06:59:37,C,M01,Angry,G,211.99989318847656,251.9998550415039,SALAH
 16/11/2014 06:59:39,I,F02,Happy,G,475.9998321533203,507.9998970031738,SALAH
 16/11/2014 06:59:44,C,F01,Happy,G,4638.000011444092,4677.000045776367,SALAH
 16/11/2014 06:59:44,C,M04,Angry,S,315.99998474121094,351.99999809265137,
 16/11/2014 06:59:45,C,M04,Happy,S,329.9999237060547,370.00012397766113,
