IDENTITAS:,111,q,L,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 19/11/2014 06:17:12,C,M04,Neutral,G,1440.000057220459,1460.0000381469727,SALAH
 19/11/2014 06:17:12,I,F02,Happy,G,470.0000286102295,490.00000953674316,
 19/11/2014 06:17:13,C,M01,Happy,S,519.9999809265137,549.9999523162842,
 19/11/2014 06:17:14,I,F03,Happy,G,539.9999618530273,569.9999332427979,
 19/11/2014 06:17:15,I,F03,Happy,G,450.0000476837158,470.0000286102295,SALAH
RERATA:,707.9999923706055
IDENTITAS:,111,q,L,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 19/11/2014 06:25:52,I,M03,Neutral,S,829.9999237060547,870.0001239776611,
 19/11/2014 06:25:52,I,F03,Happy,G,410.0000858306885,430.00006675720215,SALAH
 19/11/2014 06:25:53,C,M04,Neutral,S,500.0,540.0002002716064,
 19/11/2014 06:25:54,I,F03,Angry,G,529.9999713897705,549.9999523162842,SALAH
 19/11/2014 06:25:55,C,M04,Happy,G,629.9998760223389,669.9998378753662,
RERATA:,612.000036239624
