IDENTITAS:,111,q,P,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 09/11/2014 12:44:28,C,M04,Happy,G,0.0,468.0001735687256,
 09/11/2014 12:44:29,C,F01,Angry,S,0.0,671.0000038146973,SALAH
 09/11/2014 12:44:30,I,M04,Neutral,S,0.0,717.9999351501465,SALAH
 09/11/2014 12:44:31,C,F01,Angry,S,0.0,373.99983406066895,
 09/11/2014 12:44:32,C,F01,Angry,G,0.0,297.0001697540283,
 09/11/2014 12:44:32,I,F02,Happy,S,0.0,358.0000400543213,
 09/11/2014 12:44:33,C,F03,Neutral,G,0.0,328.0000686645508,
 09/11/2014 12:44:34,I,F03,Happy,S,0.0,311.9997978210449,
 09/11/2014 12:44:34,I,M04,Happy,G,0.0,280.99989891052246,
 09/11/2014 12:44:35,I,F03,Neutral,S,0.0,312.000036239624,
 09/11/2014 12:44:36,C,F01,Happy,S,0.0,327.9998302459717,SALAH
 09/11/2014 12:44:36,I,F02,Neutral,G,0.0,404.9999713897705,SALAH
 09/11/2014 12:44:37,I,F03,Neutral,S,0.0,326.9999027252197,SALAH
 09/11/2014 12:44:38,C,F01,Neutral,G,0.0,327.9998302459717,SALAH
 09/11/2014 12:44:38,I,M03,Angry,S,0.0,187.99996376037598,SALAH
 09/11/2014 12:44:38,I,M04,Neutral,S,0.0,140.0001049041748,
 09/11/2014 12:45:35,I,F02,Happy,G,0.0,56187.999963760376,
 09/11/2014 12:45:35,C,M04,Angry,G,0.0,26.000022888183594,
 09/11/2014 12:45:35,C,M04,Neutral,G,0.0,42.999982833862305,
 09/11/2014 12:45:35,I,F03,Neutral,G,0.0,23.000001907348633,
 09/11/2014 12:45:35,C,F01,Happy,G,0.0,75.99997520446777,
 09/11/2014 12:45:36,C,F01,Happy,G,0.0,88.00005912780762,
 09/11/2014 12:45:36,I,M04,Angry,G,0.0,75.99997520446777,
 09/11/2014 12:45:36,C,F03,Neutral,S,0.0,125.0,
 09/11/2014 12:45:36,C,M01,Neutral,S,0.0,116.99986457824707,SALAH
 09/11/2014 12:45:36,I,M03,Happy,S,0.0,82.0000171661377,
 09/11/2014 12:45:36,I,F03,Angry,G,0.0,66.99991226196289,
 09/11/2014 12:45:37,C,M01,Angry,S,0.0,86.99989318847656,
 09/11/2014 12:45:37,I,F02,Angry,S,0.0,131.99996948242188,SALAH
 09/11/2014 12:45:37,C,M01,Neutral,S,0.0,62.00003623962402,
 09/11/2014 12:45:37,I,M04,Happy,G,0.0,89.99991416931152,
 09/11/2014 12:45:37,I,M03,Happy,G,0.0,115.00000953674316,SALAH
 09/11/2014 12:45:37,I,F03,Angry,S,0.0,78.99999618530273,SALAH
 09/11/2014 12:45:38,I,M04,Angry,S,0.0,98.00004959106445,
 09/11/2014 12:45:38,I,F03,Happy,S,0.0,95.00002861022949,SALAH
 09/11/2014 12:45:38,C,M04,Happy,S,0.0,80.99985122680664,
 09/11/2014 12:45:38,C,M04,Neutral,G,0.0,100.00014305114746,
 09/11/2014 12:45:38,C,M04,Neutral,S,0.0,63.99989128112793,
 09/11/2014 12:45:38,I,F03,Happy,G,0.0,98.00004959106445,
 09/11/2014 12:45:39,C,F01,Happy,G,0.0,90.00015258789062,SALAH
 09/11/2014 12:45:39,C,F01,Neutral,S,0.0,126.9998550415039,SALAH
 09/11/2014 12:45:39,C,F03,Happy,S,0.0,78.99999618530273,
 09/11/2014 12:45:39,C,F03,Neutral,S,0.0,89.00022506713867,SALAH
 09/11/2014 12:45:39,C,F03,Happy,S,0.0,101.00007057189941,
 09/11/2014 12:45:39,C,F03,Angry,G,0.0,78.00006866455078,
 09/11/2014 12:45:40,I,M04,Happy,S,0.0,92.99993515014648,
 09/11/2014 12:45:40,C,F01,Happy,G,0.0,97.0001220703125,
 09/11/2014 12:45:40,I,M04,Neutral,S,0.0,138.99993896484375,
 09/11/2014 12:45:40,I,M03,Happy,S,0.0,88.99998664855957,SALAH
 09/11/2014 12:45:40,C,M01,Neutral,S,0.0,151.99995040893555,
 09/11/2014 12:45:40,C,F01,Neutral,G,0.0,78.99999618530273,
 09/11/2014 12:45:41,C,M04,Angry,S,0.0,78.99999618530273,
