IDENTITAS:,1189,OJAN,L,B,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 09/11/2014 12:49:08,I,M04,Neutral,G,0.0,629.9998760223389,
 09/11/2014 12:49:08,C,M01,Happy,S,0.0,79.99992370605469,SALAH
 09/11/2014 12:49:08,C,F03,Happy,S,0.0,60.00018119812012,SALAH
 09/11/2014 12:49:08,I,M04,Neutral,G,0.0,49.99995231628418,
 09/11/2014 12:49:09,C,F01,Neutral,S,0.0,89.99991416931152,
 09/11/2014 12:49:09,C,M04,Happy,G,0.0,90.00015258789062,
 09/11/2014 12:49:09,C,M01,Happy,S,0.0,110.0001335144043,SALAH
 09/11/2014 12:49:09,C,M01,Happy,G,0.0,69.99993324279785,
 09/11/2014 12:49:09,C,F01,Neutral,S,0.0,100.00014305114746,SALAH
 09/11/2014 12:49:09,C,M01,Happy,S,0.0,99.99990463256836,SALAH
 09/11/2014 12:49:10,C,F01,Neutral,G,0.0,79.99992370605469,
 09/11/2014 12:49:10,C,F01,Happy,G,0.0,99.99990463256836,
 09/11/2014 12:49:10,I,F02,Happy,G,0.0,109.9998950958252,
 09/11/2014 12:49:10,C,M04,Neutral,S,0.0,80.00016212463379,SALAH
 09/11/2014 12:49:10,I,F03,Neutral,S,0.0,89.99991416931152,SALAH
 09/11/2014 12:49:10,I,F03,Neutral,G,0.0,49.99995231628418,
 09/11/2014 12:49:11,C,M04,Happy,S,0.0,79.99992370605469,
 09/11/2014 12:49:11,I,M04,Happy,G,0.0,49.99995231628418,
 09/11/2014 12:49:11,C,F03,Neutral,G,0.0,19.999980926513672,
 09/11/2014 12:49:12,I,F03,Happy,G,0.0,359.9998950958252,
 09/11/2014 12:49:13,I,F02,Neutral,G,0.0,29.999971389770508,
 09/11/2014 12:49:13,I,F02,Neutral,G,0.0,179.99982833862305,
 09/11/2014 12:49:13,I,F02,Happy,G,0.0,49.99995231628418,SALAH
 09/11/2014 12:49:13,I,F02,Neutral,S,0.0,49.99995231628418,SALAH
 09/11/2014 12:49:13,C,F01,Happy,S,0.0,19.999980926513672,SALAH
 09/11/2014 12:49:14,C,M04,Neutral,S,0.0,19.999980926513672,SALAH
 09/11/2014 12:49:14,I,F03,Neutral,S,0.0,39.999961853027344,SALAH
 09/11/2014 12:49:15,I,F02,Neutral,G,0.0,90.00015258789062,
