IDENTITAS:,1,er,P,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 24/01/2015 23:23:40,I,F02,Angry,G,0.0,579.9999237060547,SALAH
 24/01/2015 23:23:41,I,M03,Happy,G,0.0,420.0000762939453,
 24/01/2015 23:23:41,C,M04,Angry,S,0.0,310.99987030029297,
 24/01/2015 23:23:42,I,F03,Angry,G,0.0,338.0000591278076,
 24/01/2015 23:23:42,C,M01,Angry,G,0.0,368.9999580383301,SALAH
 24/01/2015 23:23:43,C,M01,Angry,G,0.0,342.9999351501465,
 24/01/2015 23:23:43,C,M01,Neutral,G,0.0,325.9999752044678,SALAH
RERATA:,383.857113974435
IDENTITAS:,1,er,P,SESI 1
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 24/01/2015 23:23:57,I,F02,Angry,G,0.0,546.0000038146973,SALAH
 24/01/2015 23:23:57,I,F03,Angry,G,0.0,139.9998664855957,
 24/01/2015 23:23:57,I,F03,Neutral,S,0.0,109.9998950958252,
 24/01/2015 23:23:57,C,M04,Angry,S,0.0,108.99996757507324,SALAH
 24/01/2015 23:23:58,I,F03,Happy,G,0.0,157.99999237060547,SALAH
 24/01/2015 23:23:58,C,M01,Happy,G,0.0,391.00003242492676,
 24/01/2015 23:23:58,C,M01,Neutral,G,0.0,101.00007057189941,SALAH
RERATA:,296.74994945526123
