IDENTITAS:,456,22,L
TGL,RAS,GENDER,EKSPRESI,WARNA,RESPON AWAL,RESPON AKHIR,KET
 30/03/2015 06:33:25,I,M03,Happy,G,0.0,548.9997863769531,
 30/03/2015 06:33:25,C,F03,Neutral,S,0.0,111.00006103515625,SALAH
 30/03/2015 06:33:25,I,M03,Neutral,S,0.0,62.99996376037598,SALAH
 30/03/2015 06:33:25,C,M01,Angry,S,0.0,87.00013160705566,
 30/03/2015 06:33:26,I,M04,Angry,G,0.0,95.00002861022949,SALAH
 30/03/2015 06:33:26,C,F01,Neutral,G,0.0,85.99996566772461,SALAH
 30/03/2015 06:33:27,I,F02,Neutral,G,0.0,1550.9998798370361,
 30/03/2015 06:33:27,I,F02,Happy,S,0.0,80.00016212463379,SALAH
 30/03/2015 06:33:28,C,F01,Happy,G,0.0,103.99985313415527,
 30/03/2015 06:33:28,C,M01,Angry,S,0.0,47.99985885620117,SALAH
 30/03/2015 06:33:31,I,F02,Angry,G,0.0,2736.0000610351562,
 30/03/2015 06:33:31,C,M04,Happy,S,0.0,110.0001335144043,SALAH
 30/03/2015 06:33:31,C,F01,Angry,G,0.0,97.0001220703125,
 30/03/2015 06:33:31,I,M03,Happy,S,0.0,88.00005912780762,SALAH
 30/03/2015 06:33:33,C,M01,Neutral,S,0.0,1450.0000476837158,SALAH
 30/03/2015 06:33:33,I,M03,Neutral,G,0.0,95.99995613098145,
 30/03/2015 06:33:33,C,M04,Happy,S,0.0,98.9999771118164,SALAH
 30/03/2015 06:33:33,C,F03,Angry,G,0.0,87.00013160705566,
 30/03/2015 06:33:33,I,M03,Angry,S,0.0,88.00005912780762,SALAH
 30/03/2015 06:33:33,I,M04,Neutral,S,0.0,140.0001049041748,SALAH
 30/03/2015 06:33:35,C,M01,Angry,G,0.0,1736.0000610351562,
 30/03/2015 06:33:35,I,M04,Neutral,G,0.0,144.99998092651367,
 30/03/2015 06:33:35,I,M04,Happy,G,0.0,94.99979019165039,
 30/03/2015 06:33:36,C,M04,Angry,S,0.0,93.00017356872559,SALAH
 30/03/2015 06:33:36,I,M04,Angry,G,0.0,95.00002861022949,
 30/03/2015 06:33:36,I,F02,Happy,S,0.0,137.00008392333984,SALAH
 30/03/2015 06:33:36,I,M04,Neutral,G,0.0,104.00009155273438,
 30/03/2015 06:33:36,C,F03,Angry,G,0.0,148.00000190734863,
 30/03/2015 06:33:36,I,F03,Angry,S,0.0,90.99984169006348,SALAH
 30/03/2015 06:33:37,C,F01,Happy,S,0.0,120.99981307983398,SALAH
 30/03/2015 06:33:37,C,M04,Neutral,G,0.0,130.00011444091797,
 30/03/2015 06:33:37,I,F02,Happy,G,0.0,102.99992561340332,
 30/03/2015 06:33:37,C,F03,Angry,G,0.0,82.0000171661377,
 30/03/2015 06:33:37,C,M01,Happy,S,0.0,154.00004386901855,SALAH
 30/03/2015 06:33:38,I,M03,Angry,S,0.0,103.99985313415527,SALAH
 30/03/2015 06:33:38,C,M01,Angry,G,0.0,88.99998664855957,
 30/03/2015 06:33:38,I,M03,Neutral,S,0.0,93.00017356872559,SALAH
 30/03/2015 06:33:38,C,M01,Angry,G,0.0,98.00004959106445,
 30/03/2015 06:33:38,C,F03,Neutral,S,0.0,91.00008010864258,SALAH
 30/03/2015 06:33:38,C,M04,Neutral,S,0.0,105.99994659423828,SALAH
 30/03/2015 06:33:39,C,F01,Angry,S,0.0,138.0000114440918,SALAH
 30/03/2015 06:33:39,C,F03,Neutral,G,0.0,94.00010108947754,
 30/03/2015 06:33:39,I,M04,Angry,S,0.0,79.99992370605469,SALAH
 30/03/2015 06:33:39,C,M04,Angry,G,0.0,95.00002861022949,
 30/03/2015 06:33:39,I,F02,Happy,S,0.0,92.00000762939453,SALAH
 30/03/2015 06:33:40,I,F03,Happy,G,0.0,99.99990463256836,
 30/03/2015 06:33:40,I,M04,Angry,S,0.0,106.99987411499023,SALAH
 30/03/2015 06:33:40,I,F02,Happy,S,0.0,92.99993515014648,SALAH
 30/03/2015 06:33:40,I,F02,Angry,G,0.0,91.00008010864258,
 30/03/2015 06:33:40,I,M04,Angry,G,0.0,148.00000190734863,
 30/03/2015 06:33:41,I,F02,Neutral,S,0.0,148.9999294281006,SALAH
 30/03/2015 06:33:41,I,M04,Neutral,G,0.0,97.0001220703125,
 30/03/2015 06:33:41,C,F03,Happy,S,0.0,82.99994468688965,SALAH
 30/03/2015 06:33:41,C,M01,Angry,G,0.0,94.00010108947754,
 30/03/2015 06:33:41,C,F03,Angry,S,0.0,92.99993515014648,SALAH
 30/03/2015 06:33:41,C,F01,Neutral,S,0.0,82.99994468688965,SALAH
 30/03/2015 06:33:42,C,M04,Neutral,S,0.0,97.0001220703125,SALAH
 30/03/2015 06:33:42,I,F03,Happy,G,0.0,105.00001907348633,
 30/03/2015 06:33:42,C,M01,Neutral,S,0.0,89.99991416931152,SALAH
 30/03/2015 06:33:42,I,F03,Angry,G,0.0,95.99995613098145,
 30/03/2015 06:33:42,I,F03,Neutral,S,0.0,150.00009536743164,SALAH
 30/03/2015 06:33:43,C,M04,Neutral,G,0.0,121.99997901916504,
 30/03/2015 06:33:43,I,M04,Happy,G,0.0,101.00007057189941,
 30/03/2015 06:33:43,I,M04,Happy,S,0.0,132.00020790100098,SALAH
